storage/path,storage/name,storage/read_only,printer/state,printer/temp_bed,printer/target_bed,printer/temp_nozzle,printer/target_nozzle,printer/axis_z,printer/axis_x,printer/axis_y,printer/flow,printer/speed,printer/fan_hotend,printer/fan_print,timestamp,job/id,job/progress,job/time_remaining,job/time_printing,filename,shape,transfer/id,transfer/time_transferring,transfer/progress,transfer/transferred
/usb/,usb,false,IDLE,27,0,28,0,0,-1,-4,100,100,0,0,2025-02-26 09:58:09,,,,,,,,,,
/usb/,usb,false,IDLE,27.1,0,28,0,0,-1,-4,100,100,0,0,2025-02-26 09:58:14,,,,,,,,,,
/usb/,usb,false,IDLE,27.1,0,28,0,0,-1,-4,100,100,0,0,2025-02-26 09:58:19,,,,,,,,,,
/usb/,usb,false,IDLE,27.1,0,28,0,0,-1,-4,100,100,0,0,2025-02-26 09:58:24,,,,,,,,,,
/usb/,usb,false,PRINTING,27.6,60,38.5,170,0,,,100,100,0,0,2025-02-26 10:04:29,86,0,12120,5,,,,,,
/usb/,usb,false,PRINTING,28.8,60,57.2,170,0,,,100,100,3535,0,2025-02-26 10:04:34,86,0,12120,10,,,,,,
/usb/,usb,false,PRINTING,30.4,60,75.5,170,0,,,100,100,2935,0,2025-02-26 10:04:39,86,0,12120,15,,,,,,
/usb/,usb,false,PRINTING,31.9,60,94.9,170,0,,,100,100,2939,0,2025-02-26 10:04:44,86,0,12120,20,,,,,,
/usb/,usb,false,PRINTING,33.6,60,112.3,170,0,,,100,100,2918,0,2025-02-26 10:04:49,86,0,12120,25,,,,,,
/usb/,usb,false,PRINTING,35.2,60,129.6,170,0,,,100,100,2798,0,2025-02-26 10:04:54,86,0,12120,30,,,,,,
/usb/,usb,false,PRINTING,36.9,60,143.9,170,0,,,100,100,2923,0,2025-02-26 10:04:59,86,0,12120,35,,,,,,
/usb/,usb,false,PRINTING,38.9,60,150.7,170,0,,,100,100,2967,0,2025-02-26 10:05:04,86,0,12120,41,,,,,,
/usb/,usb,false,PRINTING,40.8,60,156.6,170,0,,,100,100,2827,0,2025-02-26 10:05:09,86,0,12120,46,,,,,,
/usb/,usb,false,PRINTING,42.9,60,162.6,170,0,,,100,100,2862,0,2025-02-26 10:05:14,86,0,12120,51,,,,,,
/usb/,usb,false,PRINTING,45.2,60,167.3,170,0,,,100,100,2941,0,2025-02-26 10:05:19,86,0,12120,56,,,,,,
/usb/,usb,false,PRINTING,47.3,60,170.5,170,0,,,100,100,2827,0,2025-02-26 10:05:24,86,0,12120,61,,,,,,
/usb/,usb,false,PRINTING,49.6,60,172.6,170,4,,,100,100,2934,0,2025-02-26 10:05:29,86,0,12120,66,,,,,,
/usb/,usb,false,PRINTING,52,60,173.6,170,4,,,100,100,2939,0,2025-02-26 10:05:34,86,0,12120,71,,,,,,
/usb/,usb,false,PRINTING,54.3,60,173.9,170,4,,,100,100,3044,0,2025-02-26 10:05:39,86,0,12120,76,,,,,,
/usb/,usb,false,PRINTING,56,60,173.6,170,4,,,100,100,3002,0,2025-02-26 10:05:44,86,0,12120,81,,,,,,
/usb/,usb,false,PRINTING,57.4,60,172.9,170,4,,,100,100,2817,0,2025-02-26 10:05:49,86,0,12120,86,,,,,,
/usb/,usb,false,PRINTING,58.6,60,172.3,170,4,,,100,100,2862,0,2025-02-26 10:05:54,86,0,12120,91,,,,,,
/usb/,usb,false,PRINTING,59.4,60,171.4,170,4,,,100,100,2892,0,2025-02-26 10:05:59,86,0,12120,96,,,,,,
/usb/,usb,false,PRINTING,59.9,60,170.8,170,3,,,100,100,2787,0,2025-02-26 10:06:04,86,0,12120,101,,,,,,
/usb/,usb,false,PRINTING,60.3,60,170.3,170,-5,,,100,100,2916,0,2025-02-26 10:06:09,86,0,12120,106,,,,,,
/usb/,usb,false,PRINTING,60.6,60,170,170,-5,,,100,100,2851,0,2025-02-26 10:06:14,86,0,12120,111,,,,,,
/usb/,usb,false,PRINTING,60.7,60,169.8,170,2,,,100,100,2920,0,2025-02-26 10:06:19,86,0,12120,116,,,,,,
/usb/,usb,false,PRINTING,60.7,60,169.7,170,-5,,,100,100,2984,0,2025-02-26 10:06:24,86,0,12120,121,,,,,,
/usb/,usb,false,PRINTING,60.7,60,169.6,170,40,,,100,100,2984,1125,2025-02-26 10:06:29,86,0,12120,126,,,,,,
/usb/,usb,false,PRINTING,60.6,60,169.4,170,-5,,,100,100,2985,70,2025-02-26 10:06:34,86,0,12120,131,,,,,,
/usb/,usb,false,PRINTING,60.6,60,169.7,170,-1.2,,,100,100,2928,1,2025-02-26 10:06:39,86,0,12120,136,,,,,,
/usb/,usb,false,PRINTING,60.5,60,169.7,170,-1.1,,,100,100,2991,0,2025-02-26 10:06:44,86,0,12120,141,,,,,,
/usb/,usb,false,PRINTING,60.4,60,169.8,170,-0.9,,,100,100,2929,0,2025-02-26 10:06:50,86,0,12120,146,,,,,,
/usb/,usb,false,PRINTING,60.4,60,170,170,-5,,,100,100,2942,0,2025-02-26 10:06:55,86,0,12120,151,,,,,,
/usb/,usb,false,PRINTING,60.3,60,170,170,-1.1,,,100,100,2926,0,2025-02-26 10:07:00,86,0,12120,156,,,,,,
/usb/,usb,false,PRINTING,60.2,60,170,170,-0.8,,,100,100,2925,0,2025-02-26 10:07:05,86,0,12120,161,,,,,,
/usb/,usb,false,PRINTING,60.1,60,170,170,-0.9,,,100,100,3033,0,2025-02-26 10:07:10,86,0,12120,166,,,,,,
/usb/,usb,false,PRINTING,60.1,60,170,170,-1,,,100,100,3193,0,2025-02-26 10:07:15,86,0,12120,171,,,,,,
/usb/,usb,false,PRINTING,60.1,60,170,170,-0.7,,,100,100,3353,0,2025-02-26 10:07:20,86,0,12120,176,,,,,,
/usb/,usb,false,PRINTING,60,60,170.1,170,-5,,,100,100,3339,0,2025-02-26 10:07:25,86,0,12120,181,,,,,,
/usb/,usb,false,PRINTING,60,60,169.9,170,-0.8,,,100,100,3735,0,2025-02-26 10:07:30,86,0,12120,186,,,,,,
/usb/,usb,false,PRINTING,60.1,60,170,170,-5,,,100,100,3704,0,2025-02-26 10:07:35,86,0,12120,191,,,,,,
/usb/,usb,false,PRINTING,59.9,60,170,230,15,,,100,100,3631,0,2025-02-26 10:07:40,86,0,12120,196,,,,,,
/usb/,usb,false,PRINTING,59.9,60,175.1,230,15,,,100,100,3731,0,2025-02-26 10:07:45,86,0,12120,201,,,,,,
/usb/,usb,false,PRINTING,60,60,188.4,230,15,,,100,100,3774,0,2025-02-26 10:07:50,86,0,12120,206,,,,,,
/usb/,usb,false,PRINTING,60,60,202.4,230,15,,,100,100,3661,0,2025-02-26 10:07:55,86,0,12120,211,,,,,,
/usb/,usb,false,PRINTING,59.9,60,212.7,230,15,,,100,100,4114,0,2025-02-26 10:08:00,86,0,12120,216,,,,,,
/usb/,usb,false,PRINTING,60,60,216.3,230,15,,,100,100,4203,0,2025-02-26 10:08:05,86,0,12120,221,,,,,,
/usb/,usb,false,PRINTING,59.9,60,221.5,230,15,,,100,100,4341,0,2025-02-26 10:08:10,86,0,12120,226,,,,,,
/usb/,usb,false,PRINTING,59.8,60,226.8,230,15,,,100,100,4478,0,2025-02-26 10:08:15,86,0,12120,231,,,,,,
/usb/,usb,false,PRINTING,60,60,229.2,230,15,,,100,100,4625,0,2025-02-26 10:08:20,86,0,12120,236,,,,,,
/usb/,usb,false,PRINTING,59.9,60,231.4,230,0.2,,,100,100,4789,0,2025-02-26 10:08:25,86,0,12060,241,,,,,,
/usb/,usb,false,PRINTING,60,60,232.3,230,0.2,,,100,100,4861,0,2025-02-26 10:08:30,86,0,12060,246,,,,,,
/usb/,usb,false,PRINTING,60,60,231.8,230,0.2,,,100,100,4969,0,2025-02-26 10:08:35,86,0,12060,251,,,,,,
/usb/,usb,false,PRINTING,59.9,60,232.8,230,0.2,,,100,100,4875,0,2025-02-26 10:08:40,86,0,12060,256,,,,,,
/usb/,usb,false,PRINTING,60,60,232.2,230,0.2,,,100,100,4910,0,2025-02-26 10:08:45,86,0,12060,261,,,,,,
